Index,Posting,PosterName,PostingDate,NumberofLikes,NumberofComments,NumberofReposts,NumberofOrganicImpressions,Comments,Commenters
23," ðŸš€ Good morning, CleanStart enthusiasts! The countdown to innovation has officially begun! ðŸŒâœ¨In just 4 weeks, on November 16th, we're bringing you the CleanStart Spotlight Pitchâ€”an event where clean tech visionaries will take center stage to showcase groundbreaking solutions shaping our sustainable future.ðŸ” Today's Teaser:Get ready to dive into the future of clean energy with XeroHome. Their cutting-edge AI technology is set to revolutionize the way we approach sustainable living. Stay tuned for more details about XeroHome and the other trailblazing companies taking the spotlight at the event!Save your spot, today! https://hubs.ly/Q026rJ990 #CleanTechRevolution #SpotlightPitch #XeroHomeTeaserStartupSac, Carlsen Center for Innovation & Entrepreneurship, Water, Energy and Technology (WET) Center, Chicostart, NorCal Entrepreneur Hub, Sacramento Entrepreneurial Growth Alliance",CameronR.Law,10/23/2023,6,0,3,0,,
24," ðŸš€ It's a week of opportunities and innovation at the Carlsen Center! Don't miss out:1ï¸âƒ£ Spark Venture Competition Deadline: Submit your venture idea by Friday, Oct. 27th. Win cash awards and boost your startup at the competition during Global Entrepreneurship Week Sacramento2ï¸âƒ£ Workshops: Join our Mastering Customer Discovery with Josh David Miller and the Virtual IP Bootcamp to sharpen your entrepreneurial skills.3ï¸âƒ£ Startup Happy Hour: Get inspired by Giri Addanki, Founder & CEO of Acorn Finance at Tipsy Putt, K Street, next Monday. Brought to you by StartupSac, Carlsen Center, and the City of SacramentoCatch up on these exciting events in our latest e-newsletter: https://lnkd.in/gpDUwb7s#Innovation #Entrepreneurship #StartupLife #Opportunities #NetworkingGrowth Factory Startup Folsom Choose Folsom Sacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council Sacramento Entrepreneurship Academy NorCal Entrepreneur Hub FourthWave.ioLaura Good Rich Foreman Monique Brown Donna â€œBasicTaqâ€ Walters, MBA Phil Scott Chris Horton ðŸ·Christy Serrato ",CameronR.Law,10/23/2023,8,1,1,54,Let's go!!! So much good stuff taking place in Sacramento.,
25," ðŸŒŸ Calling all California State University-Sacramento students! ðŸŒŸGot a brilliant #idea that could change your life or your community? Here's your chance to make it happen!The Student Idea Competition is where #innovation meets #inspiration. No matter your major, if you've got a solution to a real-world problem, you can compete for cash awards!ðŸŒ Open to all majors.ðŸ’¡ Real-world problem-solving.ðŸ’° Compete for cash prizes.Turn your ideas into impact - join the competition! Applications close Oct. 25th!ðŸ”— Learn more and sign up: https://lnkd.in/gbcpt2TM#Innovation #ProblemSolving #StudentCompetition #SacState #Impact #EntrepreneurshipThe Hive CSUS Sacramento State College of Business Administration Sacramento State College of Engineering and Computer Science Sacramento State EMBA Sacramento State BHON Women In Business Sac State AMA at Sac State Women in STEM at Sac State Sac State BSU Evan Broome Hannah Chavez Madi Lane Ethan Bradley Isaiah Parker Abubeker Hussen Vanessa Vang Bradley Seng Amy Luu Smith Purdum Jay Pandit Ariel Manalo Kaitlyn Raygoza Jordan Stanley NATALY ANDRADE-DOMINGUEZ HASHEM JABER Serina Sieng Rana Ghobashy Aranjot Kaur Sameer Shaik Diana Moua Vokil Alla Nur Cherrilyn Feguro Jovanna Justo-Sanchez Jovanna Acevedo Fatima Mauricio Noelia Barron Daniela Santellanez Delon Chisolm Aliyah Penn",CameronR.Law,10/19/2023,3,0,1,60,,
26," ðŸš€ Ready to turbocharge your startup journey? ðŸš€Join us for the Mentor Sprint during Global Entrepreneurship Week Sacramento on Nov. 15th following 1 Million Cups Sacramento. It's your chance to connect with at least 3 experienced mentors in a high-speed, high-impact session. In just 45 minutes, you'll get 15 minutes with each mentor to tackle your startup's challenges. These are seasoned advisors and investors who can help you navigate your entrepreneurial path.Don't miss this fantastic opportunity to gain insights, wisdom, and guidance.ðŸ—“ï¸ Date: Nov. 15thðŸ•¥ Time: 10:30 AM to 12 PMðŸ“ Where: Carlsen Center for Innovation & Entrepreneurship at Sacramento StateThis event is powered by the Carlsen Center and StartupSac!Thank you Western Health Advantage, SMUD, and College of Continuing Education (CCE) at Sacramento State for your sponsorship of #GEW2023!Register now: https://lnkd.in/gvRB2-ug#StartupJourney #MentorSprint #Entrepreneurship #GEW2023 #1MillionCupsSacramentoPlease share with your entrepreneurial networks: Growth Factory Sacramento Entrepreneurship Academy Sacramento Valley SBDC Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce CleanStart FourthWave.io Sacramento SCORE Sierra Business Council California Office of the Small Business Advocate (CalOSBA) SBA Sacramento District Office Startup FolsomLaura Good Monique Brown ðŸ·Christy Serrato Michael Freedman SiewYee Lee Pat Fong Kushida Azizza Davis Goines Kaifa Yates Juan P. Novello Thomas Hall Gary Simon Cheryl Beninga Dick Gourley Jermaine Carter-Gibson Carrie Ellinwood Rich Foreman",CameronR.Law,10/19/2023,0,1,3,157,I love putting these speed mentoring events on with Laura Good! If you are an entrepreneur looking to connect with a mentor be sure to sign up,Cameron Law
27," ðŸš€ Prepare for an Entrepreneurial Revolution in Sacramento! ðŸš€Join us for the Sacramento Entrepreneurial State of the Union 2023 during Global Entrepreneurship Week Sacramento, presented by Western Health Advantage. ðŸŒŸThis signature event will set the stage for an exciting week filled with discussions on innovation, entrepreneurship, and building the future. Here's what you can expect:ðŸŒ† A Glimpse into Sacramento's Growing Ecosystem: Discover how our region is rapidly becoming an innovation and entrepreneurial hub. We'll unveil key insights and initiatives that are driving our entrepreneurial growth.ðŸ¤ Connecting the Dots: Learn about the efforts of the Sacramento Entrepreneurial Growth Alliance in enhancing connectivity in Greater Sacramento. Their mission: to cultivate entrepreneurship for economic development and expand the investment landscape.ðŸ“… Agenda:- Networking: Connect with fellow innovators and entrepreneurs over drinks and heavy appetizers.- SEGA Overview: Get an in-depth understanding of the Sacramento Entrepreneurial Growth Alliance.- Entrepreneurship as Economic Development: Explore how entrepreneurship is shaping our economic landscape and creating growth within our region.- Investment Landscape: Uncover opportunities in the expanding investment landscape and how the next generation of investors can engage this ecosystem.Stay tuned as we reveal our lineup of dynamic speakers who will inspire, inform, and ignite your entrepreneurial spirit. ðŸŽ¤Don't miss this incredible kickoff event during Global Entrepreneurship Week. Let's shape the future of Sacramento's entrepreneurial ecosystem together! ðŸš€ðŸ”— Register now: https://lnkd.in/gwRSWJeWThank you to our amazing sponsors: Western Health Advantage, SMUD, and College of Continuing Education (CCE) at Sacramento State#GEW2023 #Entrepreneurship #SacramentoInnovation #InnovationEcosystem #StartupCommunityGreater Sacramento Economic Council StartupSac Growth Factory Startup Folsom Choose Folsom FourthWave.io City of Sacramento City of Roseville City of Elk Grove Moneta Ventures Black Star Fund AgStart CleanStart Ansync Labs California Office of the Small Business Advocate (CalOSBA)Troels Adrian Laura Good Monique Brown Rich Foreman Cheryl Beninga ðŸ·Christy Serrato Phil Scott Lokesh Sikaria Sara Ledterman Wayne Wiley Aubree Smith Luis Aguilar Jermaine Carter-Gibson Clair Whitmer John Selep Thomas Hall Gary Simon Franklin Burris, MPA",CameronR.Law,10/19/2023,11,1,7,171,Register here,Carsen Center of Innovation & Entrepreneurship
28," As part of Global Entrepreneurship Week 2023, powered by Western Health Advantage, join this a discussion led by FourthWave about The Power of Women Entrepreneurship.This event will discuss leadership and entrepreneurship as well as how the increase in women-founded companies will lead the way to a brighter future. Entrepreneurs are the builders of our world and women starting new businesses at unprecedented rates brings a hopeful future with the creations and solutions to our worlds challenges.Fï»¿ourthWave: FourthWave is committed to changing the narrative around gender equity, and we believe a core part of the story is seen through an economic lens. We know that investing in women is one of the most effective ways to reduce inequality and increase economic growth. This is a paradigm that has proven to be true internationally, in economies of every scale.Cï»¿arlsen Center: Carlsen Center serves as a regional hub and platform for providing approachable and accessible entrepreneurial education, community, and support to enable startup founders of all backgrounds to explore and launch their businesses.",CameronR.Law,10/19/2023,15,1,2,0,Thanks Mariah Roman Lichtensenstern for sharing our event and always elevating women entrepreneurship! This inspiring event is not to be missed. See you there!,FourthWave.io
29," As part of Global Entrepreneurship Week 2023, powered byÂ Western Health Advantage, we are excited to bring to you a discussion led by #FourthWave aboutÂ The Power of Women Entrepreneurship.This event will discuss leadership and entrepreneurship as well as how the increase in women-founded companies will lead the way to a brighter future. #Entrepreneurs are the builders of our world and women starting new businesses at unprecedented rates brings a hopeful future with the creations and solutions to our world's challenges. #GEW #GEW2023 #WomenEntrepreneurship #FemaleFounders",CameronR.Law,10/19/2023,13,1,2,0,Looking forward to it,Franklin Burris
30, Lots of learning this past weekend at the Carlsen Center for Innovation & Entrepreneurship Traction weekend! Met some great people (Dom Nai for one). We will have some OneStudy.ai updates soon!,CameronR.Law,10/19/2023,27,4,2,0,"I think you have a future as a stock business photo model, Withmy face for radio, I won't go too far :D But if my crossed-arms modelling career take off, I will know who started it!, It was great hearing about your model at the event!, Thank you for sharing about your incredible start up! I really enjoyed our conversations","Ryan Radcliff, Kincy Clark, David Webb, Dom Nai"
31," ðŸš€ Calling all Entrepreneurs! The Spark Venture Competition deadline is fast approaching. Don't miss your chance to shine and secure your piece of $20,000 in cash prizes! ðŸ’°ðŸŒŸ About the Spark Venture Competition:This annual event hosted by the Carlsen Center for Innovation & Entrepreneurship is your platform to showcase your early-stage for-profit or social impact venture. The competition is part of Global Entrepreneurship Week Sacramento and powered by Western Health Advantage.ðŸš¨ Application Deadline: Friday, October 27th, 2023 ðŸš¨Here's your chance to bring your innovative ideas to life and compete for cash prizes. This is the opportunity you've been waiting for, and the clock is ticking.ðŸ”— Apply today and grab your shot at success: https://lnkd.in/gwxgpwySGet your application in by October 27th, and get ready to shine on the entrepreneurial stage! ðŸŒ  Thank you: Western Health Advantage, SMUD, and College of Continuing Education (CCE) at Sacramento State for your support as a sponsor of GEW 2023!#Entrepreneurship #StartupCompetition #Innovation #Venture #StartupLife #CashPrizes #SparkYourIdeaStartupSac Growth Factory Sacramento Entrepreneurial Growth Alliance Greater Sacramento Economic Council FourthWave.io 1 Million Cups Sacramento Sacramento Entrepreneurship Academy UC Davis Venture Catalyst UC Davis Institute for Innovation and Entrepreneurship UC Davis Student Startup Center AgStart CleanStart Choose Folsom California Office of the Small Business Advocate (CalOSBA) Startup Challenge Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce Sacramento Valley SBDC World Trade Center Northern California",CameronR.Law,10/18/2023,6,0,2,81,,
32," SPECIAL GUEST | Kwame Anku, CEO & Chairman, Black Star Fund.Kwame unapologetically believes the best investment in the world right now is in women. Period.Who are we to disagree?Kwame is the suite with hosts Latoya Antonio & Robin Glasco for a 20-minute, fast-paced conversation about the business of investing.PRODUCED BY | The Pink Couch",CameronR.Law,10/18/2023,1,1,10,0,Omg my worlds coiliding! Hi Kwanme Anki! Hi Latoya Antonio!!!,Nina Essandoh
33," ðŸš€ Ready to create products that customers can't resist? ðŸŽ¯ Join our Mastering Customer Discovery workshop led by Josh David Miller!ðŸ” Mastering Customer Discovery: Create Products Customers Want Are you an aspiring entrepreneur or innovator? Discover the secrets to developing products your customers truly desire. ðŸ’¡In this two-part workshop led by Josh David Miller (JDM), founder of The Right Box LLC, you'll learn the art of customer discovery. Dive into the process, understand your customers' hearts and minds, and create irresistible offers. ðŸŒŸSession 1:- ðŸŽ¯ The Customer Discovery Process- ðŸ’¡ Understanding Customer Wants- ðŸŽ­ Creating Customer PersonasSession 2:- ðŸ” Mastering Customer Interviews- ðŸ”„ When to Pivot- ðŸ’¥ Crafting Irresistible OffersDon't miss out on this opportunity to gain invaluable insights and skills to create products your customers can't live without. ðŸ› ï¸ðŸ—“ï¸ When: Wednesday, Oct. 18thðŸ•” Time: 12 pm PSTðŸ“ Where: Virtual on Zoom (Register to receive the link)About JDM:Josh David Miller is a startup traction expert with a knack for helping founders launch and scale over 100 products. He's known for asking the tough questions that drive clarity and action. Josh is the author of the weekly newsletter ""3-2-1 Traction"" and is active on LinkedIn, YouTube, and TikTok.ðŸ”— Register now and get ready to master customer discovery: https://lnkd.in/gnEcCCWXUnlock the key to creating products that make a difference! ðŸš€ #CustomerDiscovery #ProductDevelopment #Innovation #Entrepreneurship #Startups #ProductDesign #MasterYourMarketStartupSac Growth Factory Startup Folsom Startup Challenge Sacramento Entrepreneurship Academy Sacramento Entrepreneurial Growth Alliance The Hive CSUS UC Davis Venture Catalyst UC Davis Student Startup CenterLaura Good Monique Brown Rich Foreman Michael Freedman Dan Casas-Murray Evan Broome Hannah Chavez Madi Lane Ethan Bradley Kenneth S. Munk Ken Mak Ahmed Ismail Rebecca Han Nguyen Cynthia McNaught Schneider Garrett Gillett, CRPCÂ®, AAMSÂ® Kincy Clark Dick Gourley Isaiah Parker Abubeker Hussen Janine Elliott Niki Peterson Aaron Mondell Anderson Dawn McGee ",CameronR.Law,10/17/2023,12,6,3,653,"Signed up and ready to discover me some clusters, Let's go! You are on it Kincy. I love your relentless focus in this discovery process, JDMI is the best! Don't miss this event, and if you can reach out to him","Kincy Clark, Cameron Law, Dick Gourley, Cameron Law"
34," ðŸš€ Calling all Founders, Entrepreneurs, and Small Business Owners in the greater Sacramento region! Discover this week's must-attend events in our latest blog post.Links to all these events are in the blog post.ðŸŒŸ FEATURED:ðŸ“Œ Apply to the Spark Venture Competitionâœ… Apply by Oct 27, Contest on Nov 15ðŸ”¥ Don't miss the Spark Venture Competition! Open to for-profit and social ventures in the Greater Sacramento region, with a chance to win from a $20,000 prize pool. ðŸ“… THIS WEEK:ðŸ“Œ UC Davis Big Bang! KickoffðŸ—“ï¸ Tue, Oct 17, 5 â€“ 8 PM, In-person in DavisðŸš€ Join UC Davis for the 24th annual UC Davis Big Bang! Business Competition and workshop series. Find out how innovators are turning ideas into successful companies. ðŸ“Œ Non-Equity Funding Strategies For Startups and Small BusinessðŸ—“ï¸ Tue, Oct 17, 6:15 â€“ 7:45 PM, In-person in Elk GroveðŸ’° Need funding for your startup or small business? Learn about non-equity funding options and what lenders seek in your business loan application. Hosted by InnoGrove. ðŸ“Œ CHOOSE FOLSOM: NCID Pitch NightðŸ—“ï¸ Thu, Oct 19, 5 â€“ 6:30 PM, In-person in FolsomðŸŒ Join the Northern California Innovation District to discover investment opportunities in local startups. ðŸ“Œ Sac Valley SBDC: One-Day Patents Boot CampðŸ—“ï¸ Thu, Oct 19, 9 AM â€“ 5 PM, In-person in SacramentoðŸ’¡ Got an invention idea? Attend the One-Day No-Cost Patents Boot Camp and learn from a U.S. Patent and Trademark Representative. ðŸ“Œ Sac Valley SBDC: One-Day Trademarks BootcampðŸ—“ï¸ Fri, Oct 20, 9 AM â€“ 5 PM, In-person in SacramentoðŸ“œ Explore the best way to grow your business and protect your brand at the One-Day No-Cost Trademarks Boot Camp. Hosted by a trademark attorney from the U.S. Patent and Trademark Office. Don't miss out on these fantastic events to help supercharge your business. For event details and registration, read our full blog post. Monique Brown Josh David Miller Cameron R. Law Rich Foreman Mariah ""Roman"" Lichtenstern John Nogrady Rachid Abadli, MBA Beth Broome Dick Gourley Arlene J. Miranda John Selep Steve Brown Alex Chompff Aaron Mondell Anderson Thomas Hall Janine Elliott Niki Peterson Dawn McGee Lauren Taber May Chinavanichkit Michael Freedman ðŸ·Christy Serrato John Majeski Nikki Sims Laura Fickle Phil Scott Donna â€œBasicTaqâ€ Walters, MBA Christina G.California Capital Financial Development Corporation Growth Factory SCORE Capital Corridor CleanStart Startup Folsom AgStart 1 Million Cups Sacramento Carlsen Center for Innovation & Entrepreneurship UC Davis Institute for Innovation and Entrepreneurship#SacramentoEntrepreneurs #SmallBusinessGrowth #StartupEvents #EntrepreneurshipOpportunities",CameronR.Law,10/16/2023,10,0,5,0,,
35," ðŸŒŸ Carlsen Center Weekly e-Newsletter: Discover What's Happening in the Sacramento Startup Scene! ðŸŒŸDon't miss out on exciting opportunities and events coming your way. Check out this week's newsletter and stay in the loop with our dynamic community! ðŸš€ðŸš€ 1. Spark Venture Competition: Apply by Oct. 27thÂ Calling all early-stage startups and social ventures! The Spark Venture Competition is your chance to shine during Global Entrepreneurship Week Sacramento. ðŸ’¡Apply now and stand a chance to win a share of $20,000 in cash prizes! ðŸŒ† 2. Innovation Series: Are you ready to take your business to the next level? Dive into our Innovation Series and explore workshops like:- ðŸ› ï¸ Building the Capability to Build New Businesses: Uncover the strategies to drive innovation and build new ventures. Led by Brian K. Gladden, Andrew Constable, and Frank Mattes- ðŸ’¡ Mastering Customer Discovery: Learn how to create products that your customers truly want. Led by Josh David Miller- ðŸ’¡ Virtual IP Bootcamp: Get insights into intellectual property to protect your innovations. Led by James RitcheyðŸŒ 3. Global Entrepreneurship Week (Nov. 13th - 17th)Â Mark your calendars! Global Entrepreneurship Week is fast approaching. Join us for an incredible week of innovation, networking, and inspiration. Don't miss out on this global celebration of entrepreneurship and innovation! Thank you to our sponsors Western Health Advantage, SMUD, and College of Continuing Education (CCE) at Sacramento StateðŸ”— Read the full newsletter for more details and opportunities: https://lnkd.in/gJDqgzEiGet ready to supercharge your entrepreneurial journey! ðŸ’ª#StartupCompetition #InnovationSeries #GlobalEntrepreneurshipWeek #Entrepreneurship #StartupOpportunities #InnovateAndGrow #EntrepreneurialCommunity StartupSac Startup Folsom Sacramento Entrepreneurial Growth Alliance Sacramento Entrepreneurship Academy Sacramento MetroBusiness Center Growth Factory 1 Million Cups Sacramento NorCal Entrepreneur Hub FourthWave.ioLaura Good Rich Foreman Franklin Burris, MPA Arlene J. Miranda ðŸ·Christy Serrato Michael Freedman May Chinavanichkit Dick Gourley Monique Brown Donna â€œBasicTaqâ€ Walters, MBA",CameronR.Law,10/16/2023,12,3,3,253,"Grateful for the amazing work the Carlsen Center for Innovation & Entrepreneurship is doing as a leader of the Greater Sacramento Startup Ecosystem. We are very fortunate to be able to experience their amazing programs. Dick, thank you for the shoutout! We loved having you at the Startup Challenge yesterday! Thank you for sharing about GEW2023! Hold your calendars for a full week of entrpreneurship support and programming!","Dick Gourley, Cameron Law, Global Entrepreneurship Week Sacramento"
36," ðŸ“š Unlock the Power of Intellectual Property with Our Virtual IP Bootcamp! ðŸ’¡Ready to safeguard your innovation? Don't miss this incredible opportunity to dive deep into the world of intellectual property (IP) and learn how to protect your groundbreaking ideas. ðŸ›¡ï¸Join us for the Virtual IP Bootcamp, led by the exceptional James Ritchey J.D., Ph.D. ðŸ‘¨â€ðŸ« This event is offered in collaboration with the Office of Innovation & Technology Transfer at Sacramento State's Offices of Research Innovation and Economic Development.ðŸŒŸ Key Highlights:- Explore various forms of intellectual property.- Dive into real-world case studies to understand how to protect your innovations effectively.- Learn the ins and outs of obtaining:Â - Trade SecretsÂ - CopyrightsÂ - TrademarksÂ - PatentsAbout James Ritchey J.D., Ph.D.:ðŸŽ“ With a rich educational background and extensive experience, James Ritchey is your go-to expert in patent prosecution. He holds licenses with the California Bar and the United States Patent and Trademark Office, making him a registered patent attorney.ðŸ‘¨â€ðŸ”¬ His expertise spans across technology, including chemistry, biochemistry, and molecular biology. A dedicated professor at California State University-Sacramento, James Ritchey has been a guiding light for those navigating the complex world of intellectual property.Don't miss out on this opportunity to gain insights and knowledge that could be crucial for your innovation's success. Reserve your spot now! ðŸ’¼ðŸ“† Date: Thursday, Oct. 26th and Friday,  Oct. 27thðŸ•’ Time: 12 pm PSTðŸ“ Location: Virtual on ZoomðŸ‘‰ Register Here: https://lnkd.in/gtjkJcqS#IntellectualProperty #Innovation #Patents #Trademarks #Entrepreneur #BusinessProtection #InnovationSuccess #IPBootcampSacramento Valley SBDC Sacramento Entrepreneurial Growth Alliance Sacramento Asian Pacific Chamber of Commerce Sacramento Black Chamber of Commerce Sacramento Hispanic Chamber of Commerce AgStart CleanStart California Office of the Small Business Advocate (CalOSBA) World Trade Center Northern California Northern California SBDC StartupSac Startup Folsom The Hive CSUSRafael A.C.D. Gacel-Sinclair Laura Good Rich Foreman Arlene J. Miranda Hannah Chavez Madi Lane Evan Broome Ethan Bradley",CameronR.Law,10/13/2023,6,0,0,114,,
37," ðŸš€ KICKOFF TONIGHT: The Ultimate Startup Challenge Begins! ðŸš€Get ready to transform your innovative ideas into thriving startups! It's time to shift from talking to doing with the Startup Challenge - a high-energy, action-packed weekend where you can bring your business visions to life. ðŸš€Here's what you can expect:- ðŸ§  Pitch and Brainstorm New Ideas: We start by forming teams around fresh, groundbreaking concepts. No idea? No problem - you're welcome to join!- ðŸ’¼ Turn Ideas into Real Businesses: You and your team have one weekend to turn that spark of inspiration into a full-fledged business. But here's the catch - you'll learn by doing it.- ðŸ› ï¸ Resources at Your Fingertips: We've got all the resources you need for success, and you don't require any specific business knowledge or special skills.This is Sacramento's flagship event for the startup ecosystem, and it's the perfect opportunity to move from contemplation to action. Your innovative journey begins tonight, and the possibilities are endless!ðŸ‘‰ Learn More & Register Now: https://lnkd.in/gX5iM-J5Don't miss out on this exciting opportunity to make things happen! See you there! ðŸ‘‹ðŸš€#StartupChallenge #Entrepreneurship #Innovation #StartDoing #BusinessInnovation #SacramentoStartups",CameronR.Law,10/13/2023,0,0,0,144,,
38," You can launch your startup tonight.Seriously! Here's how ðŸ‘‡The Startup Challenge kicks off in just a few hours. It's the Sacramento region's premiere event to learn startups by actually doing startups.In the last year, we've facilitated the launch or growth of more than 50 companies â€” it's time to start yours.We have only a few seats left, and one of them could be yours, if you act fast (link in comments).Not convinced yet? Let me tell you a little more...The Startup Challenge is a weekend of DOING not TALKING and we will support you in finding customers for that idea you have been kicking around in your head.We'll provide food, resources, mentorship, and more â€” all designed to help you focus on what matters: getting shit out of your head and testing it with customers.It is a weekend-long experiential learning event, from Friday night through Sunday night.It looks like this:â€¢ We begin by forming teams around brand-new ideas.â€¢ Anyoneâ€™s welcome to participate â€” even if you donâ€™t have an idea.â€¢ Teams have just one weekend to turn the idea into a real business, and youâ€™ll learn how by doing it.â€¢ We have all the resources you need to succeed.â€¢ No business knowledge or special skills requiredRegister at the link in the comments!Laura Good Cameron R. Law Arlene J. Miranda Carlsen Center for Innovation & Entrepreneurship The Hive CSUS StartupSac UC Davis Student Startup Center The Right Box LLC ",CameronR.Law,10/12/2023,3,0,2,17,,
39," ðŸš€ The Startup Challenge is about to take off! Don't miss this opportunity launch in ONE weekend!ðŸš€Are you ready to dive into the world of innovation, entrepreneurship, and game-changing ideas? The Startup Challenge is just around the corner, and you won't want to miss it. ðŸ“… Mark your calendars for this Friday evening, as we kick off the most anticipated event of the year! This is your chance to network with like-minded individuals, learn from industry experts, and turn your startup dreams into reality.ðŸŒŸ But here's the catch: There are limited spots available, and time is running out to sign up. Don't miss your opportunity to be part of this incredible journey. Secure your spot now by clicking the link below and signing up today:ðŸ”— Learn more and sign up here: https://lnkd.in/gbt8i-atWhether you're an aspiring entrepreneur, a seasoned pro, or just curious about the world of startups, the Startup Challenge is the perfect place to ignite your passion and make meaningful connections.Hurry, because this is a chance to launch your ideas, network with the best, and embark on an incredible entrepreneurial adventure. Sign up now and be part of something extraordinary! ðŸ’¼ðŸš€ #StartupChallenge #Entrepreneurship #Innovation #Networking #StartupJourneyStartupSac City of Sacramento The Right Box LLC Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Growth Factory Sacramento Entrepreneurship Academy Sierra College Sacramento State College of Business Administration Sacramento State EMBA Sacramento State College of Engineering and Computer Science UC Davis Student Startup Center UC Davis Institute for Innovation and Entrepreneurship CleanStart Startup FolsomLaura Good Josh David Miller Arlene J. Miranda Cameron R. Law Rich Foreman ",CameronR.Law,10/11/2023,11,0,4,198,,
40," Are you ready to supercharge your startup's growth and fundraising strategy? Our workshop on Capital Strategy Using GroundWork Growth is here, and it's happening TODAY!ðŸš€ Join Us Today at 12 pm PST for a Deep Dive into Capital Strategy Using GroundWork Growth! ðŸš€ðŸ•› Time: 12 pm PSTðŸ’» Location: Virtual on Zoom (Register to receive link)In this session, we'll unravel the powerful GroundWork Growth methodology, a dynamic framework for building and growing venture-scale startups. The heart of GroundWork lies in identifying a strategic milestone that unlocks your startup's next significant leap, and crafting a compelling narrative on how your team will achieve it.ðŸŒŸ The implications of this methodology on fundraising are game-changing. By attending this workshop, you'll gain valuable insights on how to use GroundWork Growth to minimize fundraising friction and make your startup investment-ready.Don't miss out on this opportunity to transform your startup's capital strategy and set it on the path to success. Join us today and equip yourself with the tools you need to secure the funding you deserve.ðŸ”— Secure your spot now by registering here: https://lnkd.in/g56VyT2NSee you at 12 pm PST â€“ let's build a stronger foundation for your startup's future! ðŸš€ðŸ’¼ #GroundWorkGrowth #StartupStrategy #Fundraising #Entrepreneurship #WorkshopStartupSac Startup Folsom Growth Factory Startup Haven VenturesLaura Good Rich Foreman Monique Brown Donna â€œBasicTaqâ€ Walters, MBA Nikki Sims Rick Spencer Justin Mickle Srinjay Verma Abubeker Hussen Obi Baratt Ladan Ghobad, Ph.D. Heather Rankow, MBA Ashley Keyes Rebecca Han Nguyen Enrique Alcacer Ortiz Joshua Maddox Juanyae (Jae) Allen Hadi Shirmohamadali Cynthia McNaught Schneider Garrett Gillett, CRPCÂ®, AAMSÂ® DJ Waldow Smith Purdum Cody Mokaram Quintin Levesque Brenton Beltrami Maria Medrano Stuart Zurn John Savage Amy Jacobs-Schroeder Hannah Chavez Madi Lane Ethan Bradley Evan Broome Chelby Gill Ranjit Phagura Beth Goldberg",CameronR.Law,10/11/2023,8,0,1,151,,
41," ðŸ“£ Ready to Supercharge Your Capital Strategy? ðŸš€Join us TOMORROW for a game-changing online event: Capital Strategy Using GroundWork Growth. ðŸ’¼Are you a founder seeking to unlock your startup's full potential? Discover the secrets of GroundWork Growth, a proven methodology that's transforming venture-scale startups. ðŸ’¡Here's what you'll gain:- ðŸ”‘ Insights into the GroundWork Growth methodology.- ðŸš€ Strategies for achieving your startup's next major milestone.- ðŸŒŸ Tips on minimizing fundraising friction and maximizing success.About Startup Haven Ventures:This event is brought to you by Startup Haven, a dynamic support network for over 2,300 vetted venture-scale startup founders and investors. From fostering meaningful relationships to educational workshops and investments, they're at the forefront of innovation and growth. ðŸŒThe session will be led by Bob Crimmins, General Partner of Startup Haven Ventures.Don't miss out on this exclusive opportunity to level up your capital strategy game. Join us TOMORROW! â³ðŸ‘‰ Register now: https://lnkd.in/g56VyT2N#CapitalStrategy #Startups #VentureScale #GroundWorkGrowth #StartupHaven #EntrepreneurshipStartupSac Growth Factory Sacramento Entrepreneurial Growth Alliance NorCal Entrepreneur Hub Sacramento MetroBusiness Center Startup Folsom 1 Million Cups SacramentoLaura Good Monique Brown Donna â€œBasicTaqâ€ Walters, MBA Nikki Sims Rick Spencer Rich Foreman",CameronR.Law,10/11/2023,3,0,0,80,,
